student_id,study_hours,attendance,group_discussion,previous_test_score,final_exam_pass
1,8,96,No,87,Pass
2,5,92,Yes,68,Fail
3,14,45,Yes,43,Pass
4,12,67,No,34,Pass
5,9,67,Yes,64,Fail
6,14,83,No,47,Fail
7,6,83,Yes,38,Pass
8,8,59,Yes,87,Pass
9,11,69,No,46,Fail
10,4,50,No,36,Fail
11,8,97,No,75,Pass
12,12,94,Yes,42,Pass
13,12,67,Yes,69,Pass
14,9,64,Yes,71,Pass
15,6,78,No,38,Fail
16,5,72,Yes,79,Pass
17,9,40,No,56,Fail
18,9,96,Yes,95,Fail
19,4,66,Yes,34,Pass
20,7,96,No,58,Pass
21,6,91,No,66,Fail
22,3,52,No,67,Fail
23,9,80,Yes,37,Pass
24,13,42,Yes,94,Pass
25,15,78,Yes,46,Pass
26,7,45,No,74,Fail
27,3,47,Yes,33,Fail
28,13,66,Yes,65,Pass
29,6,48,Yes,60,Pass
30,2,76,Yes,48,Pass
31,13,72,Yes,90,Pass
32,11,90,Yes,83,Pass
33,7,81,Yes,68,Pass
34,14,83,No,48,Pass
35,13,63,No,68,Pass
36,10,54,Yes,74,Fail
37,2,98,Yes,42,Fail
38,12,93,No,87,Fail
39,12,71,Yes,49,Fail
40,11,71,Yes,90,Pass
41,13,63,Yes,68,Pass
42,13,80,Yes,30,Pass
43,15,91,No,32,Fail
44,15,88,Yes,91,Pass
45,15,88,No,92,Pass
46,4,97,Yes,54,Pass
47,13,91,Yes,85,Pass
48,8,51,Yes,62,Pass
49,5,78,Yes,67,Fail
50,10,41,No,35,Fail
51,4,42,Yes,87,Pass
52,6,88,Yes,73,Fail
53,4,76,No,74,Fail
54,8,88,Yes,61,Pass
55,6,95,Yes,74,Pass
56,10,56,Yes,90,Pass
57,8,98,Yes,76,Pass
58,3,88,No,50,Pass
59,5,41,Yes,65,Pass
60,10,41,Yes,48,Pass
61,13,67,Yes,49,Pass
62,15,93,No,86,Fail
63,3,62,Yes,47,Pass
64,11,76,Yes,76,Pass
65,10,71,No,78,Pass
66,11,72,No,43,Fail
67,6,40,No,44,Pass
68,3,58,Yes,60,Pass
69,5,41,Yes,30,Fail
70,13,92,Yes,83,Fail
71,13,83,Yes,32,Fail
72,8,65,Yes,45,Pass
73,13,71,No,86,Pass
74,14,45,Yes,41,Fail
75,9,71,No,45,Fail
76,4,94,Yes,53,Pass
77,15,43,No,57,Fail
78,2,94,Yes,37,Pass
79,5,50,Yes,65,Fail
80,3,95,No,37,Pass
81,9,98,Yes,87,Pass
82,5,56,Yes,89,Pass
83,3,77,No,79,Fail
84,15,63,No,57,Pass
85,7,44,Yes,70,Pass
86,7,91,Yes,93,Pass
87,11,73,Yes,56,Pass
88,5,45,No,92,Fail
89,7,61,Yes,46,Pass
90,14,50,Yes,62,Pass
91,3,87,Yes,58,Pass
92,11,55,Yes,42,Pass
93,13,72,No,75,Pass
94,3,48,Yes,64,Pass
95,11,99,No,35,Pass
96,15,98,Yes,76,Fail
97,5,45,Yes,54,Pass
98,15,55,Yes,95,Fail
99,9,68,Yes,39,Pass
100,15,42,No,85,Fail
101,8,59,No,59,Fail
102,13,99,Yes,34,Pass
103,10,98,No,62,Pass
104,15,75,Yes,94,Pass
105,9,58,No,47,Pass
106,6,65,Yes,78,Fail
107,14,42,Yes,40,Fail
108,3,58,Yes,55,Fail
109,6,59,Yes,92,Pass
110,9,71,Yes,88,Fail
111,11,46,Yes,56,Fail
112,10,91,Yes,78,Pass
113,13,80,Yes,62,Pass
114,13,72,No,30,Fail
115,13,79,Yes,50,Pass
116,14,78,Yes,84,Fail
117,10,57,No,35,Pass
118,14,79,No,34,Fail
119,14,40,Yes,32,Pass
120,2,50,Yes,82,Pass
121,10,67,No,52,Pass
122,8,96,Yes,82,Fail
123,10,64,No,66,Fail
124,9,89,No,46,Fail
125,2,62,Yes,30,Pass
126,13,70,Yes,80,Fail
127,9,69,No,74,Pass
128,9,81,Yes,33,Fail
129,12,74,Yes,91,Pass
130,4,46,No,94,Pass
131,2,99,No,61,Fail
132,9,55,No,63,Pass
133,4,65,No,68,Fail
134,4,87,No,55,Fail
135,2,96,No,63,Pass
136,12,91,No,83,Fail
137,6,99,No,32,Pass
138,11,88,Yes,79,Pass
139,8,41,Yes,41,Fail
140,11,40,No,94,Fail
141,10,87,No,83,Pass
142,13,51,No,34,Fail
143,8,44,No,86,Fail
144,10,76,No,46,Pass
